Name,Gender,Count,Probability
James,1,5304407,0.014516787
John,1,5260831,0.01439753
Robert,1,4970386,0.013602658
Michael,1,4579950,0.012534136
William,1,4226608,0.01156713
Mary,0,4169663,0.011411287
David,1,3787547,0.010365534
Joseph,1,2695970,0.007378171
Richard,1,2638187,0.007220034
Charles,1,2433540,0.006659968
Thomas,1,2381034,0.006516273
Christopher,1,2196198,0.006010425
Daniel,1,2039641,0.005581969
Matthew,1,1738699,0.004758368
Elizabeth,0,1704140,0.004663789
Patricia,0,1608260,0.004401391
Jennifer,0,1584426,0.004336163
Anthony,1,1506437,0.004122727
George,1,1495736,0.004093442
Linda,0,1480592,0.004051996
Barbara,0,1459870,0.003995286
Donald,1,1447641,0.003961818
Paul,1,1437346,0.003933643
Mark,1,1410637,0.003860548
Andrew,1,1394274,0.003815766
Steven,1,1347137,0.003686765
Kenneth,1,1321790,0.003617397
Edward,1,1319807,0.00361197
Joshua,1,1316998,0.003604282
Margaret,0,1280255,0.003503726
Brian,1,1239444,0.003392037
Kevin,1,1237204,0.003385907
Jessica,0,1173979,0.003212876
Sarah,0,1162143,0.003180484
Susan,0,1154677,0.003160052
Timothy,1,1122610,0.003072293
Dorothy,0,1118450,0.003060908
Jason,1,1112091,0.003043505
Ronald,1,1111459,0.003041775
Helen,0,1033566,0.002828602
Ryan,1,1026185,0.002808402
Jeffrey,1,1020570,0.002793035
Karen,0,1018083,0.002786229
Nancy,0,1016057,0.002780685
Betty,0,1005188,0.002750939
Lisa,0,1005108,0.00275072
Jacob,1,975297,0.002669135
Nicholas,1,968611,0.002650837
Ashley,0,957384,0.002620112
Eric,1,932323,0.002551526
Frank,1,924751,0.002530804
Gary,1,924718,0.002530713
Anna,0,916075,0.00250706
Stephen,1,906367,0.002480491
Jonathan,1,901897,0.002468258
Sandra,0,901623,0.002467508
Emily,0,899883,0.002462746
Amanda,0,886371,0.002425768
Kimberly,0,874977,0.002394585
Michelle,0,862683,0.00236094
Donna,0,849167,0.00232395
Justin,1,846720,0.002317253
Laura,0,842865,0.002306703
Ruth,0,832959,0.002279593
Carol,0,831393,0.002275307
Brandon,1,828500,0.00226739
Larry,1,818093,0.002238908
Scott,1,811733,0.002221503
